Date,IWF,IWM,KFRC,MTUM,SPY,VLUE,VXX
2019-03-04,-0.0,-1.417761976585506,1.0,-0.0,-0.5973568914745385,-0.5760611937082526,0.0
2019-03-05,-0.0,-1.4078331051379982,1.0,-0.0,-0.6121640123946097,-0.5830871225769259,0.0
2019-03-06,-0.0,-1.4027307442899344,1.0,-0.0,-0.6201815692773255,-0.5796527127314648,0.0
2019-03-07,-0.0,-1.4029072068506456,1.0,-0.0,-0.6209837009318893,-0.5741373727197495,0.0
2019-03-08,-0.0,-1.4084409928872115,1.0,-0.0,-0.6449775003628974,-0.5755552329801131,0.0
2019-03-11,-0.0,-1.4066199035510738,1.0,-0.0,-0.6511033172585122,-0.5956451848604413,0.0
2019-03-12,-0.0,-1.3585247660267081,1.0,-0.0,-0.6822402249102948,-0.6583804979099619,0.0
2019-03-13,-0.0,-1.3733982097091704,1.0,-0.0,-0.6885191100546001,-0.6523790067971622,0.0
2019-03-14,-0.0,-1.3724376114081995,1.0,-0.0,-0.6899881164587046,-0.6511437908496731,0.0
2019-03-15,-0.0,-1.363544888756382,1.0,-0.0,-0.6981701636045168,-0.6650393172585994,0.0
2019-03-18,-0.0,-1.3781797625777277,1.0,-0.0,-0.7131712832108537,-0.6772187676653477,0.0
2019-03-19,-0.0,-1.3760413132798068,1.0,-0.0,-0.715405782351389,-0.678012740774247,0.0
2019-03-20,-0.0,-1.3829666805026224,1.0,-0.0,-0.7061242971963321,-0.6843515339043809,0.0
2019-03-21,-0.0,-1.382173290098786,1.0,-0.0,-0.7243420556519116,-0.6639393710881532,0.0
2019-03-22,-0.0,-1.3736702127659575,1.0,-0.0,-0.7639817629179332,-0.6617401215805471,0.0
2019-03-25,-0.0,-1.3201188550795502,1.0,-0.0,-0.7824124572159327,-0.6587053823297101,0.0
2019-03-26,-0.0,-1.3246487673722875,1.0,-0.0,-0.7819896239633429,-0.6802363009808006,0.0
2019-03-27,-0.0,-1.325641122483665,1.0,-0.0,-0.7796200475884729,-0.6716017675718549,0.0
2019-03-28,-0.0,-1.3231711929798018,1.0,-0.0,-0.7749829790453135,-0.6843180270822301,0.0
2019-03-29,-0.0,-1.320365959699066,1.0,-0.0,-0.7727118067369853,-0.6874976371403727,0.0
2019-04-01,-0.0,-1.3232353717885843,1.0,-0.0,-0.7713811446033124,-0.6780095823744672,0.0
2019-04-02,-0.0,-1.3290572567903092,1.0,-0.0,-0.778760063200662,-0.6541268527575052,0.0
2019-04-03,-0.0,-1.3296843847571755,1.0,-0.0,-0.7824549524131963,-0.6496633186623029,0.0
2019-04-04,-0.0,-1.3256601218686526,1.0,-0.0,-0.77563379222147,-0.6600842548709848,0.0
2019-04-05,-0.0,-1.3272352389878164,1.0,-0.0,-0.7748828491096532,-0.6467104029990628,0.0
2019-04-08,-0.0,-1.325825431922947,1.0,-0.0,-0.7746505265524866,-0.6472285724993441,0.0
2019-04-09,-0.0,-1.320689525669433,1.0,-0.0,-0.7896496037856311,-0.6452473053667329,0.0
2019-04-10,-0.0,-1.3056398725875962,1.0,-0.0,-0.7845231403410157,-0.6572606333145963,0.0
2019-04-11,-0.0,-1.2925338433269582,1.0,-0.0,-0.8089398882513967,-0.6484793940075748,0.0
2019-04-12,-0.0,-1.2882313332335777,1.0,-0.0,-0.8071225497531049,-0.645481071375131,0.0
2019-04-15,-0.0,-1.2915714981091102,1.0,-0.0,-0.8012880518216199,-0.651477140824503,0.0
2019-04-16,-0.0,-1.2924835988753516,1.0,-0.0,-0.8085848172446111,-0.6477600749765698,0.0
2019-04-17,-0.0,-1.1686103012633626,1.0,-0.0,-0.7497917534360683,-0.5523740108288214,0.0
2019-04-18,-0.0,-1.172307902279241,1.0,-0.0,-0.6862631363450252,-0.5534666302715981,0.0
2019-04-22,-0.0,-1.1687328767123288,1.0,-0.0,-0.6942465753424658,-0.5616438356164384,0.0
2019-04-23,-0.0,-1.1601299367413234,1.0,-0.0,-0.6922550863395452,-0.5670029064797402,0.0
2019-04-24,-0.0,-1.1402788614852257,1.0,-0.0,-0.6910472571835669,-0.5611493706957967,0.0
2019-04-25,-0.0,-1.1274266480807806,1.0,-0.0,-0.7029544759120117,-0.5694760820045558,0.0
2019-04-26,-0.0,-1.115096905814349,1.0,-0.0,-0.6973818429105747,-0.587725263515811,0.0
2019-04-29,-0.0,-1.1207254414917147,1.0,-0.0,-0.6994793970533193,-0.5824628262275001,0.0
2019-04-30,-0.0,-1.1084541965286505,1.0,-0.0,-0.698209979280595,-0.5899935464148636,0.0
2019-05-01,-0.0,-1.10967258355763,1.0,-0.0,-0.7232802970937958,-0.5740860618036865,0.0
2019-05-02,-0.0,-1.1230869089915279,1.0,-0.0,-0.7134462968024051,-0.5797007379065319,0.0
2019-05-03,-0.0,-1.1327799412447908,1.0,-0.0,-0.7065655530504885,-0.5766208922593428,0.0
2019-05-06,-0.0,-1.1104252634450773,1.0,-0.0,-0.7125123623094499,-0.5873205333697098,0.0
2019-05-07,-0.0,-1.1168383707443543,1.0,-0.0,-0.709456232516886,-0.5850788019376407,0.0
2019-05-08,-0.0,-1.0999592280511008,1.0,-0.0,-0.7032141886382168,-0.5944889915737971,0.0
2019-05-09,-0.0,-1.0974597884857347,1.0,-0.0,-0.715271874043595,-0.5877852212058353,0.0
2019-05-10,-0.0,-1.0966030806895848,1.0,-0.0,-0.7167533748172328,-0.586997177734707,0.0
2019-05-13,-0.0,-1.0974125327258508,1.0,-0.0,-0.7133045459181939,-0.589371323654415,0.0
2019-05-14,-0.0,-1.0332940582393537,1.0,-0.0,-0.7418279750883691,-0.5913482578690457,0.0
2019-05-15,-0.0,-1.0372767104819682,1.0,-0.0,-0.7500842601954836,-0.5830468486686889,0.0
2019-05-16,-0.0,-1.0408252705390555,1.0,-0.0,-0.7469574891278696,-0.5834204227488791,0.0
2019-05-17,-0.0,-1.0191004107256152,1.0,-0.0,-0.7185026880822787,-0.601629545530437,0.0
2019-05-20,-0.0,-1.0232596943202297,1.0,-0.0,-0.7154441700594006,-0.5984115330708136,0.0
2019-05-21,-0.0,-1.0156375300721732,1.0,-0.0,-0.7226677358994922,-0.603047313552526,0.0
2019-05-22,-0.0,-1.0132727090368092,1.0,-0.0,-0.7254521747851961,-0.6044933302129651,0.0
2019-05-23,-0.0,-1.0163770053475933,1.0,-0.0,-0.7498997326203208,-0.5760026737967914,0.0
2019-05-24,-0.0,-0.9908797390407085,1.0,-0.0,-0.7520886729021736,-0.5855939819591919,0.0
2019-05-28,-0.0,-0.9849281341495875,1.0,-0.0,-0.752495342028214,-0.5896992281075326,0.0
2019-05-29,-0.0,-0.9951546528607462,1.0,-0.0,-0.7528209212797028,-0.5707553431567769,0.0
2019-05-30,-0.0,-0.9955671705977703,1.0,-0.0,-0.7447815012074498,-0.5677329716497403,0.0
2019-05-31,-0.0,-0.9945758227220108,1.0,-0.0,-0.7421531337853481,-0.570696212998181,0.0
2019-06-03,-0.0,-0.9912691091196627,1.0,-0.0,-0.7382050606220348,-0.5652016341591988,0.0
2019-06-04,-0.0,-1.0019404064987172,1.0,-0.0,-0.7262053542064066,-0.5606788133920937,0.0
2019-06-05,-0.0,-1.0101082096805547,1.0,-0.0,-0.733719950754876,-0.49598263461413855,0.0
2019-06-06,-0.0,-1.0193011431717347,1.0,-0.0,-0.7117782311603356,-0.5073674665630363,0.0
