Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2019-04-15,-0.0,-0.3992160453205917,-0.0,1.0,-0.3942376469915024,-1.0676661611971046,0.0
2019-04-16,-0.0,-0.4023641475870775,-0.0,1.0,-0.39461754748378947,-1.072158145406553,0.0
2019-04-17,-0.0,-0.40329253576969487,-0.0,1.0,-0.3834396368442223,-1.0863356892489802,0.0
2019-04-18,-0.0,-0.38912880750849316,-0.0,1.0,-0.38685437899464503,-1.103040248747625,0.0
2019-04-22,-0.0,-0.4073148766812887,-0.0,1.0,-0.3963919472445748,-1.1013276007320687,0.0
2019-04-23,-0.0,-0.4086696301461402,-0.0,1.0,-0.3994305470815538,-1.0972718556611174,0.0
2019-04-24,-0.0,-0.3973488803805546,-0.0,1.0,-0.402221835479754,-1.100997795567931,0.0
2019-04-25,-0.0,-0.4023028510107602,-0.0,1.0,-0.4018097972679022,-1.0962034861799936,0.0
2019-04-26,-0.0,-0.39081763200744357,-0.0,1.0,-0.43472319143986976,-1.0821121190974645,0.0
2019-04-29,-0.0,-0.3897644664146554,-0.0,1.0,-0.43448676940971215,-1.0835708054667055,0.0
2019-04-30,-0.0,-0.3865077057284095,-0.0,1.0,-0.4321314335562664,-1.0891829020063972,0.0
2019-05-01,-0.0,-0.384149889444897,-0.0,1.0,-0.45068660537646915,-1.0745374141743278,0.0
2019-05-02,-0.0,-0.39498149389444237,-0.0,1.0,-0.43668580421414627,-1.0826508903331098,0.0
2019-05-03,-0.0,-0.40910948905109484,-0.0,1.0,-0.4308321167883211,-1.079766423357664,0.0
2019-05-06,-0.0,-0.3970326755472644,-0.0,1.0,-0.43545049115340895,-1.0823738595621886,0.0
2019-05-07,-0.0,-0.391738432345643,-0.0,1.0,-0.4372208436724565,-1.0902933878265946,0.0
2019-05-08,-0.0,-0.40519593613933236,-0.0,1.0,-0.4402612481857765,-1.057300435413643,0.0
2019-05-09,-0.0,-0.4062418423876787,-0.0,1.0,-0.44362908605737156,-1.0506424572903674,0.0
2019-05-10,-0.0,-0.40709273328307133,-0.0,1.0,-0.4451081598329757,-1.0475555297802008,0.0
2019-05-13,-0.0,-0.40650830940572524,-0.0,1.0,-0.4455755677368833,-1.048261260477392,0.0
2019-05-14,-0.0,-0.438407347194889,-0.0,1.0,-0.4090584980462622,-1.0047060836827244,0.0
2019-05-15,-0.0,-0.4391259698767686,-0.0,1.0,-0.4136809675947057,-0.9997432679141945,0.0
2019-05-16,-0.0,-0.44263794039489096,-0.0,1.0,-0.4100922936251679,-1.0046861159527958,0.0
2019-05-17,-0.0,-0.44337707636446805,-0.0,1.0,-0.4149298110186694,-1.0007147554106983,0.0
2019-05-20,-0.0,-0.43695894403017055,-0.0,1.0,-0.41707379789148885,-1.0030570555126996,0.0
2019-05-21,-0.0,-0.4419414703783012,-0.0,1.0,-0.4094789436117059,-1.0036830835117774,0.0
