Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDAY
2020-01-21,-0.6315232552546775,-0.21153383675628876,-1.9399740272233175,-1.0003366841421768,-0.02640565629358857,0.0,1.0
2020-01-22,-0.6312776601885703,-0.20887050221281508,-1.9446315181835674,-0.9998556859726765,-0.025832210890898592,0.0,1.0
2020-01-23,-0.6441732587304649,-0.20017364460737025,-1.9311692070229596,-1.0059328574184836,-0.042060582674126955,0.0,1.0
2020-01-24,-0.6442386533545555,-0.19620894226595284,-1.929484396855255,-1.0049679255293493,-0.04832875126609753,0.0,1.0
2020-01-27,-0.6264845032345274,-0.17031959061504298,-1.9653857294583377,-0.994689581925268,-0.07082166650574491,0.0,1.0
2020-01-28,-0.6012104909213181,-0.20208473436449229,-1.987366701892593,-0.9801133634354885,-0.032712076088000766,0.0,1.0
2020-01-29,-0.5899449365573378,-0.20435719415848697,-1.9852525736174287,-0.9739047163035671,-0.034666028249940146,0.0,1.0
2020-01-30,-0.5839045199635718,-0.1976225854383358,-1.9901260604898625,-0.9747879020275128,-0.04673345156497148,0.0,1.0
2020-01-31,-0.5545752579307685,-0.21285314820171633,-2.015234789316363,-0.9882846398611513,-0.05018802429852474,0.0,1.0
2020-02-03,-0.5616464430168927,-0.19819176778491554,-1.9965262907447061,-0.9629788246490601,-0.03916250297406614,0.0,1.0
2020-02-04,-0.5493271417740713,-0.20053070507960577,-1.9833206974981046,-0.964461713419257,-0.04075056861258529,0.0,1.0
2020-02-05,-0.5359702055440316,-0.20370544974542712,-1.9769470111257779,-0.9638883650763719,-0.03380162172355271,0.0,1.0
2020-02-06,-0.5779586428808026,-0.18998722377324564,-2.0346377703118343,-0.9293521979841953,-0.0,0.0,1.0
2020-02-07,-0.5646351850099366,-0.20171287971988267,-2.0391312576890317,-0.9262326109586448,-0.0,0.0,1.0
2020-02-10,-0.5764823355998289,-0.1738861680376587,-2.056535590319053,-0.9479815510436974,-0.0,0.0,1.0
2020-02-11,-0.5673792482343462,-0.169834573636062,-2.05157131345689,-0.9446840783049724,-0.006588614494951889,0.0,1.0
2020-02-12,-0.5741785595751743,-0.16566307903845243,-2.0491204779289744,-0.9503105590062112,-0.0021336114930539094,0.0,1.0
2020-02-13,-0.587192761531645,-0.17942260155776316,-2.0012126300079287,-0.896133575859335,-0.0,0.0,1.0
2020-02-14,-0.6028440832910106,-0.16164181171799252,-1.9521215199224342,-0.9004570848146267,-0.0,0.0,1.0
2020-02-18,-0.6006360326312393,-0.1680877540673826,-1.9450615292436744,-0.8951467944877173,-0.0,0.0,1.0
2020-02-19,-0.5947630922693266,-0.20610510760136697,-1.949247252239771,-0.8679227856285212,-0.0,0.0,1.0
2020-02-20,-0.6010744222664751,-0.2064094845551799,-1.9486407632102993,-0.8749594776084841,-0.0,0.0,1.0
2020-02-21,-0.6090718771807397,-0.1917655268667132,-1.961386368923005,-0.8900209351011863,-0.0,0.0,1.0
2020-02-24,-0.6092866819264726,-0.19988788713972064,-1.969963096183491,-0.8921847993646937,-0.0,0.0,1.0
2020-02-25,-0.5736128124858219,-0.2411415090059435,-1.9211469534050178,-0.8010979538133479,-0.0,0.0,1.0
2020-02-26,-0.5840868794326242,-0.18213652482269505,-1.897872340425532,-0.768572695035461,-0.0,0.0,1.0
2020-02-27,-0.6036299247454626,-0.17003098716246126,-1.883444001770695,-0.7696768481629039,-0.0,0.0,1.0
2020-02-28,-0.568350480688143,-0.2699443413729128,-1.7589812784617977,-0.6192865575982459,-0.0,0.0,1.0
2020-03-02,-0.6194209128840561,-0.22379567581236565,-1.7321616723563873,-0.639187423610233,-0.0,0.0,1.0
2020-03-03,-0.5733007733007733,-0.3562881562881563,-1.5757834757834759,-0.5646316646316646,-0.0,0.0,1.0
2020-03-04,-0.521709387952195,-0.38380749265623115,-1.6079433423202285,-0.5104824755543036,-0.0,0.0,1.0
2020-03-05,-0.5132602270959714,-0.4689298491211697,-1.4896562451392128,-0.41682221185254315,-0.0,0.0,1.0
2020-03-06,-0.5158912943344082,-0.49454936281283596,-1.455396898510671,-0.37263933671119304,-0.0,0.0,1.0
2020-03-09,-0.5134099616858238,-0.4930268199233716,-1.462567049808429,-0.36241379310344823,-0.0,0.0,1.0
2020-03-10,-0.65124280297711,-0.3011866310911389,-1.1652155596124139,-0.39306277208257273,-0.0,0.0,1.0
2020-03-11,-0.5833361871168795,-0.3609465429266121,-1.1620834902914283,-0.3181740351357831,-0.0,0.0,1.0
2020-03-12,-0.6136808899219659,-0.2855055620122863,-1.1064917815042339,-0.3149261165532127,-0.0,0.0,1.0
2020-03-13,-0.6327728523387344,-0.17153775603790888,-0.9416386426169367,-0.3112198104555182,-0.0,0.0,1.0
2020-03-16,-0.5317511038810132,-0.2621426911457123,-0.8790669300488032,-0.23196026028352315,-0.0,0.0,1.0
2020-03-17,-0.492710331597698,-0.2493285831734722,-0.6328857221156481,-0.36555220608385863,-0.0,0.0,1.0
2020-03-18,-0.4844886088221037,-0.27225723057036677,-0.5723326331663704,-0.36384445521624387,-0.0,0.0,1.0
2020-03-19,-0.48481775975238806,-0.26330113666684457,-0.5604087731469128,-0.3597043598911362,-0.0,0.0,1.0
2020-03-20,-0.4855816763704273,-0.3966824123915193,-0.5171097440404263,-0.3469735252114688,-0.0,0.0,1.0
2020-03-23,-0.4841420955282341,-0.43760200195843757,-0.4614024589272114,-0.3369328691110869,-0.0,0.0,1.0
