Date,EPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-28,1.0,-0.0,-0.22282389344813672,-1.5316830351136825,-0.6088725951836406,-0.0,0.0
2020-03-02,1.0,-0.0,-0.18000268060581692,-1.5271411338962606,-0.643613456641201,-0.0,0.0
2020-03-03,1.0,-0.0,-0.19897975761120318,-1.4465022581798095,-0.603697566364493,-0.0,0.0
2020-03-04,1.0,-0.0,-0.2191160894822993,-1.4680168180505184,-0.522450813621337,-0.0,0.0
2020-03-05,1.0,-0.0,-0.27731611627691455,-1.3686015260572735,-0.44326712180655525,-0.0,0.0
2020-03-06,1.0,-0.0,-0.3109115347018573,-1.3404508797653958,-0.40337854349951124,-0.0,0.0
2020-03-09,1.0,-0.0,-0.29489241601165367,-1.3393827197960608,-0.4005341264301538,-0.0,0.0
2020-03-10,1.0,-0.08606220657276994,-0.2831866197183099,-1.0985328638497653,-0.4665199530516432,-0.0,0.0
2020-03-11,1.0,-0.060082613593691325,-0.30590138363326497,-1.090152806262457,-0.43247927438689737,-0.0,0.0
2020-03-12,1.0,-0.07681090327827476,-0.24229507277265205,-1.0522168316554026,-0.4330183123475139,-0.0,0.0
2020-03-13,1.0,-0.21839310187300137,-0.2864321608040201,-0.9022099132023755,-0.4481498401096391,-0.0,0.0
2020-03-16,1.0,-0.1266557645134914,-0.37549741073862086,-0.858135731807032,-0.36524938675388385,-0.0,0.0
2020-03-17,1.0,-0.42014543495825474,-0.49855238351737136,-0.7615472663614328,-0.4763668192835981,-0.20993805548074332,0.0
2020-03-18,1.0,-0.4203138181204657,-0.5459760418424161,-0.6938754850683314,-0.4941791800236207,-0.2200101231651763,0.0
2020-03-19,1.0,-0.4317691573252237,-0.6276388839775099,-0.7475865483220765,-0.5293680823225716,-0.19983026273913504,0.0
2020-03-20,1.0,-0.5858843537414966,-0.9637755102040816,-0.8200680272108843,-0.6858418367346939,-0.19613095238095238,0.0
2020-03-23,1.0,-0.6533176640752125,-1.1247966009763153,-0.7741818839269571,-0.7573223648526487,-0.21040499005604774,0.0
2020-03-24,1.0,-0.6645004061738424,-1.1392724975178266,-0.7410867406805668,-0.7487137828323855,-0.21946926617925805,0.0
2020-03-25,1.0,-0.6421692419637889,-1.12245858836622,-0.6286007790095449,-0.7179728630740915,-0.16907075289988444,0.0
2020-03-26,1.0,-0.6525180779598647,-1.1234863719994868,-0.6174318599974328,-0.717085276624877,-0.16832827007830217,0.0
2020-03-27,1.0,-0.6402717778803002,-1.117938178920438,-0.5873841379021096,-0.7056997861007424,-0.1427672692194774,0.0
2020-03-30,1.0,-0.6300375469336671,-1.1177304964539008,-0.5975803087192324,-0.7030871923237381,-0.1234459741343346,0.0
2020-03-31,1.0,-0.6188085676037482,-1.1406459170013388,-0.5937918340026774,-0.697832998661312,-0.13227911646586346,0.0
2020-04-01,1.0,-0.618549803462407,-1.142092498118257,-0.592707200802877,-0.6967884920966798,-0.1315547378104876,0.0
2020-04-02,1.0,-0.6171777090817947,-1.1553179045868491,-0.590692622608405,-0.6977608822792214,-0.11650931573230847,0.0
2020-04-03,1.0,-0.6146003092223475,-1.1652668087417994,-0.5934561865362918,-0.6853035811290795,-0.12001170030504367,0.0
2020-04-06,1.0,-0.6153396517890694,-1.1598680639639263,-0.5921673416558808,-0.686025635672832,-0.12179032190722726,0.0
2020-04-07,1.0,-0.5911092985318108,-1.129363784665579,-0.5714926590538336,-0.6829934747145188,-0.10330342577487764,0.0
2020-04-08,1.0,-0.589428069171334,-1.1317607620293528,-0.563468378234741,-0.6854176035321533,-0.11802461060463595,0.0
2020-04-09,1.0,-0.5903986981285598,-1.1194873881204233,-0.5669650122050448,-0.6820179007323027,-0.10951993490642799,0.0
2020-04-13,1.0,-0.5873986224884868,-1.1333088804662346,-0.564127643966255,-0.6828055589517871,-0.1077963891266251,0.0
2020-04-14,1.0,-0.5870286205625844,-1.154649305982066,-0.5510789010359087,-0.688899807558449,-0.11284444990377923,0.0
2020-04-15,1.0,-0.5688664248155545,-1.1672033587412873,-0.5346675905922635,-0.6862185627522114,-0.11918640198915746,0.0
2020-04-16,1.0,-0.5673781978165227,-1.175818803975884,-0.5329965781326381,-0.6865325077399381,-0.11088479713214926,0.0
2020-04-17,1.0,-0.5608229712041886,-1.1976030759162304,-0.5181200916230366,-0.6915494109947644,-0.1221776832460733,0.0
2020-04-20,1.0,-0.5596724667349027,-1.2033572159672468,-0.5163561924257933,-0.6934698055271239,-0.1213510747185261,0.0
2020-04-21,1.0,-0.56332199778752,-1.2046953742778712,-0.516655057975171,-0.6929569385831933,-0.1195558651206621,0.0
2020-04-22,1.0,-0.5574834653384503,-1.2158896056177022,-0.5092675757328325,-0.6917204213276721,-0.10823058708255083,0.0
2020-04-23,1.0,-0.5469253025795672,-1.2269041118219977,-0.5003871388402136,-0.6890663841232324,-0.11186274909328008,0.0
2020-04-24,1.0,-0.5454619587376662,-1.2299192693468155,-0.5002038652858191,-0.6889423468971704,-0.11277827611514311,0.0
2020-04-27,1.0,-0.5576451349141455,-1.2319705641864267,-0.4875715453802126,-0.6904742436631235,-0.1206459525756337,0.0
2020-04-28,1.0,-0.5572269457161544,-1.2352436232831916,-0.4867151733158927,-0.6908518639633747,-0.11756049705689994,0.0
2020-04-29,1.0,-0.5425479384412805,-1.2630236194551887,-0.4734589745699942,-0.6921652538885688,-0.14373302608838778,0.0
2020-04-30,1.0,-0.5460335842501448,-1.2828604516502606,-0.4726610968649186,-0.694929274547109,-0.13950698982546117,0.0
2020-05-01,1.0,-0.5734288910062554,-1.2600770537304777,-0.477525995277352,-0.709308587762542,-0.12229172708065786,0.0
2020-05-04,1.0,-0.5738763347405016,-1.2694313384653588,-0.47371906299147426,-0.7107441436967138,-0.11095935766906713,0.0
2020-05-05,1.0,-0.5739188179629783,-1.2691956503693866,-0.4647215074292355,-0.7196812484435959,-0.12289366647298083,0.0
2020-05-06,1.0,-0.5697693711630994,-1.2713207234113157,-0.452049112327858,-0.7197195951551353,-0.13514186162269787,0.0
