Date,IWF,IWM,MTUM,RUSHA,SPY,VLUE,VXX
2019-05-07,-0.0,-0.7812442929323675,-0.0,1.0,-0.28970597187557073,-0.9728191392220126,0.0
2019-05-08,-0.0,-0.7625166283710243,-0.0,1.0,-0.2967408392792357,-0.9640827185874955,0.0
2019-05-09,-0.0,-0.764121006981172,-0.0,1.0,-0.29892109160143854,-0.9591102783402338,0.0
2019-05-10,-0.0,-0.7644694290809079,-0.0,1.0,-0.30317042947381145,-0.9547254208601565,0.0
2019-05-13,-0.0,-0.766786588868398,-0.0,1.0,-0.2984853523596457,-0.9580070744021525,0.0
2019-05-14,-0.0,-0.7539391388020207,-0.0,1.0,-0.3079745008419533,-0.9450324753427952,0.0
2019-05-15,-0.0,-0.7542620042695212,-0.0,1.0,-0.3117652364773445,-0.9406777112961906,0.0
2019-05-16,-0.0,-0.7565965640701628,-0.0,1.0,-0.30748864217588834,-0.9446099226765352,0.0
2019-05-17,-0.0,-0.7513715560378611,-0.0,1.0,-0.29568336649183097,-0.9673238078012902,0.0
2019-05-20,-0.0,-0.7601536274835938,-0.0,1.0,-0.2952187981975988,-0.9687906371911573,0.0
2019-05-21,-0.0,-0.7612093726379441,-0.0,1.0,-0.29315192743764173,-0.9690702947845806,0.0
2019-05-22,-0.0,-0.7618903820021139,-0.0,1.0,-0.2907443756605768,-0.9671447984297147,0.0
2019-05-23,-0.0,-0.7624541958147845,-0.0,1.0,-0.28442506283879954,-0.9814966233608915,0.0
2019-05-24,-0.0,-0.7483541704415051,-0.0,1.0,-0.28160294739385155,-0.9899136316965633,0.0
2019-05-28,-0.0,-0.7413168227121716,-0.0,1.0,-0.28625792811839323,-0.9926608275445485,0.0
2019-05-29,-0.0,-0.7449486584961907,-0.0,1.0,-0.2852238850913909,-0.9810593513806498,0.0
2019-05-30,-0.0,-0.7422959091728238,-0.0,1.0,-0.2783985102420856,-0.9828497627200097,0.0
2019-05-31,-0.0,-0.7464784502177504,-0.0,1.0,-0.27559693647694844,-0.9814086199128997,0.0
2019-06-03,-0.0,-0.7509326966124459,-0.0,1.0,-0.2776600507386957,-0.9560364124757498,0.0
2019-06-04,-0.0,-0.7472307646373869,-0.0,1.0,-0.2743558355477264,-0.9641119039799361,0.0
2019-06-05,-0.0,-0.7402685754850923,-0.0,1.0,-0.30196994794131565,-0.9156412683388547,0.0
2019-06-06,-0.0,-0.7463119853071865,-0.0,1.0,-0.2730019550921263,-0.9429468570412939,0.0
2019-06-07,-0.0,-0.7449491203607559,-0.0,1.0,-0.2800308541252559,-0.9417331711513929,0.0
2019-06-10,-0.0,-0.7464721925767818,-0.0,1.0,-0.26894343649946634,-0.9491580694889126,0.0
2019-06-11,-0.0,-0.7490938261334602,-0.0,1.0,-0.269059361815913,-0.9529086695585003,0.0
2019-06-12,-0.0,-0.7555034711920725,-0.0,1.0,-0.26235685041238943,-0.9489705097015366,0.0
