Date,IWF,IWM,MTUM,SBNY,SPY,VLUE,VXX
2019-08-26,-0.0,-0.6106696288700902,-0.0,1.0,-0.44273548093081544,-0.7948674129140676,0.0
2019-08-27,-0.0,-0.6080427734486092,-0.0,1.0,-0.4365508219100165,-0.7993857004721006,0.0
2019-08-28,-0.0,-0.6049771572883856,-0.0,1.0,-0.43003887517380324,-0.8025878947816463,0.0
2019-08-29,-0.0,-0.5995349364791288,-0.0,1.0,-0.4398820326678766,-0.7963362068965517,0.0
2019-08-30,-0.0,-0.5923329186927514,-0.0,1.0,-0.4438256247879679,-0.7909363338233633,0.0
2019-09-03,-0.0,-0.5944034179328296,-0.0,1.0,-0.44209603033132444,-0.7929151458563223,0.0
2019-09-04,-0.0,-0.6011267765132212,-0.0,1.0,-0.43935790725326995,-0.7905837721533322,0.0
2019-09-05,-0.0,-0.6211787930062042,-0.0,1.0,-0.43773265651438237,-0.7611957134799774,0.0
2019-09-06,-0.0,-0.6207712458803978,-0.0,1.0,-0.4421847271907834,-0.75383792005859,0.0
2019-09-09,-0.0,-0.6113411645398461,-0.0,1.0,-0.44297022451336654,-0.7626693709681962,0.0
2019-09-10,-0.0,-0.6144716585024492,-0.0,1.0,-0.4356892932120364,-0.7490272918124562,0.0
2019-09-11,-0.0,-0.6061522098133065,-0.0,1.0,-0.44960394099700507,-0.7432474039242031,0.0
2019-09-12,-0.0,-0.5632498951195638,-0.0,1.0,-0.4766606069081248,-0.7569011327087121,0.0
2019-09-13,-0.0,-0.5654761904761905,-0.0,1.0,-0.4756315671808629,-0.7534372904091214,0.0
2019-09-16,-0.0,-0.5635931824531992,-0.0,1.0,-0.477144453758033,-0.7533109807208718,0.0
2019-09-17,-0.0,-0.555490360435876,-0.0,1.0,-0.4820340877340039,-0.7565800502933782,0.0
2019-09-18,-0.0,-0.5658041801721247,-0.0,1.0,-0.47359450095003913,-0.7548340225774003,0.0
2019-09-19,-0.0,-0.5574329041807468,-0.0,1.0,-0.48722316865417375,-0.7480939481107046,0.0
2019-09-20,-0.0,-0.5645463441912484,-0.0,1.0,-0.49170977212358447,-0.7397735215993289,0.0
2019-09-23,-0.0,-0.5637183508850548,-0.0,1.0,-0.49722720143401294,-0.7398890880573605,0.0
2019-09-24,-0.0,-0.5666806899453093,-0.0,1.0,-0.5018931426167438,-0.7360818959472726,0.0
2019-09-25,-0.0,-0.5648750140118821,-0.0,1.0,-0.49775809886783995,-0.7397152785562157,0.0
2019-09-26,-0.0,-0.5545245594619903,-0.0,1.0,-0.5578445560568656,-0.7252348117249794,0.0
2019-09-27,-0.0,-0.5405590221386444,-0.0,1.0,-0.5764880189189959,-0.7322278257400917,0.0
2019-09-30,-0.0,-0.4837478278209839,-0.0,1.0,-0.6109164458878158,-0.7540950915876136,0.0
2019-10-01,-0.0,-0.4631153375281155,-0.0,1.0,-0.6210460382085813,-0.762975827805142,0.0
2019-10-02,-0.0,-0.495427264932838,-0.0,1.0,-0.6305515861674764,-0.7319805658759646,0.0
2019-10-03,-0.0,-0.5355571327182399,-0.0,1.0,-0.6049112845990063,-0.6984244144783534,0.0
2019-10-04,-0.0,-0.567758979259176,-0.0,1.0,-0.5667472317463886,-0.6759035467371142,0.0
2019-10-07,-0.0,-0.5421896010757508,-0.0,1.0,-0.5709323173464814,-0.6882844016136261,0.0
2019-10-08,-0.0,-0.5544324772162387,-0.0,1.0,-0.5305716652858327,-0.6766639049986192,0.0
2019-10-09,-0.0,-0.5614267206924116,-0.0,1.0,-0.5261997298712754,-0.6687891066457179,0.0
2019-10-10,-0.0,-0.5856049603396268,-0.0,1.0,-0.5212546084236398,-0.6861244553681152,0.0
2019-10-11,-0.0,-0.591463585630556,-0.0,1.0,-0.5216915785636165,-0.6911859558596707,0.0
2019-10-14,-0.0,-0.5705122795172588,-0.0,1.0,-0.5716375502855374,-0.6710270908937462,0.0
2019-10-15,-0.0,-0.5942453194897,-0.0,1.0,-0.5645882807753907,-0.6025294085160435,0.0
2019-10-16,-0.0,-0.6222656895696732,-0.0,1.0,-0.5462008926111631,-0.5865061435891784,0.0
2019-10-17,-0.0,-0.598578159874349,-0.0,1.0,-0.5603317626959852,-0.5965941969083244,0.0
2019-10-18,-0.0,-0.6303591160220995,-0.0,1.0,-0.5453591160220995,-0.5867127071823205,0.0
2019-10-21,-0.0,-0.6158041919317773,-0.0,1.0,-0.542736107650137,-0.6102666334413157,0.0
2019-10-22,-0.0,-0.6415796094732812,-0.0,1.0,-0.5163813378548379,-0.5768199967182629,0.0
2019-10-23,-0.0,-0.6394518749487158,-0.0,1.0,-0.5102978583736769,-0.5854052132053281,0.0
2019-10-24,-0.0,-0.6333562680610981,-0.0,1.0,-0.5383514517682675,-0.5804596119444062,0.0
2019-10-25,-0.0,-0.6343589320575215,-0.0,1.0,-0.5279221314856059,-0.5873408672220847,0.0
2019-10-28,-0.0,-0.6566593285635663,-0.0,1.0,-0.5278756191524491,-0.5672261970280683,0.0
2019-10-29,-0.0,-0.6559353910830844,-0.0,1.0,-0.5393572297820555,-0.5704723973890917,0.0
2019-10-30,-0.0,-0.6622386699439365,-0.0,1.0,-0.5319395730343285,-0.5675936921759783,0.0
2019-10-31,-0.0,-0.670259703993298,-0.0,1.0,-0.523680536163083,-0.5985758168109467,0.0
2019-11-01,-0.0,-0.673438023918632,-0.0,1.0,-0.5265172683581089,-0.5942774114228233,0.0
2019-11-04,-0.0,-0.6724407252440726,-0.0,1.0,-0.5244351464435147,-0.5924965132496514,0.0
2019-11-05,-0.0,-0.6823383854005567,-0.049095970531170034,1.0,-0.4962179793605713,-0.5842308016758991,0.0
2019-11-06,-0.0,-0.6741111865942029,-0.05049818840579711,1.0,-0.497169384057971,-0.6088371829710145,0.0
2019-11-07,-0.0,-0.6778888354050457,-0.053090579607554436,1.0,-0.4930769884191749,-0.6074411756377949,0.0
2019-11-08,-0.0,-0.6769670877471252,-0.055146434033875265,1.0,-0.4932306123605053,-0.6070356313374498,0.0
2019-11-11,-0.0,-0.6760343703031506,-0.06063012222442787,1.0,-0.49076936165385815,-0.6083997391033095,0.0
2019-11-12,-0.0,-0.6567832643573899,-0.05904529735245763,1.0,-0.5015873915754862,-0.6171835138046375,0.0
2019-11-13,-0.0,-0.659319268313629,-0.09675664844130191,1.0,-0.49065353677038903,-0.6158932814244411,0.0
2019-11-14,-0.0,-0.6553466977113976,-0.09046510307229258,1.0,-0.4618660912033619,-0.6317792038162303,0.0
2019-11-15,-0.0,-0.6536022071162433,-0.09195369606644102,1.0,-0.46636707528655535,-0.6322989846127591,0.0
2019-11-18,-0.0,-0.6524654719780847,-0.10335578130350417,1.0,-0.4740326446752654,-0.6236730966784614,0.0
2019-11-19,-0.0,-0.6768918527109308,-0.1052478979414323,1.0,-0.48498115395766894,-0.6322702232531169,0.0
2019-11-20,-0.0,-0.6884979388027638,-0.116762468791732,1.0,-0.48147825582070486,-0.6163560355338792,0.0
2019-11-21,-0.0,-0.6670002354603249,-0.16794207676006592,1.0,-0.4609135860607487,-0.6473687308688486,0.0
