Date,DIOD,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-21,1.0,-0.0,-0.716817894070479,-0.0,-0.0,-0.0,-0.4700007033832736,-0.5839487936976859,-0.0,-0.21010058380811705,-0.4779489343743406,-0.0,-0.04586058943518323,-0.0,-0.812267004290638,-0.0,-1.3798973060420623,-0.5043961454596609,-0.8325947808961104
2020-02-24,1.0,-0.0,-0.7497360084477296,-0.0,-0.0,-0.0,-0.5341077085533263,-0.5771207321365716,-0.0,-0.18521647307286165,-0.4636395635339669,-0.0,-0.1202393523407251,-0.0,-0.6934882083773318,-0.0,-1.4172474480816613,-0.48152059134107705,-0.8174586413234776
2020-02-25,1.0,-0.0,-0.782679026939588,-0.0,-0.0,-0.0,-0.7431717787594101,-0.6003235239221054,-0.0,-0.11180240154296023,-0.26709388415354945,-0.0,-0.320413115162073,-0.0,-0.3651465190070304,-0.0,-1.3215330056616685,-0.28594537423007527,-0.42344304112486775
2020-02-26,1.0,-0.0,-0.5854235986690556,-0.0,-0.17571026362938313,-0.0,-0.5394164320450473,-0.5172766828768876,-0.0,-0.30304581520348095,-0.24283337599180954,-0.0,-0.0,-0.0,-0.8913488610186845,-0.0,-1.3296007166624009,-0.24520092142308678,-0.5690427437931916
2020-02-27,1.0,-0.0,-0.5036639292482628,-0.0,-0.18989260897030955,-0.0,-0.6111181301326596,-0.6022741629816803,-0.0,-0.45078963992419463,-0.20296904611497157,-0.0,-0.0,-0.0,-0.9387871130764371,-0.0,-1.1948831332912193,-0.15281111813013265,-0.4699936828806064
2020-02-28,1.0,-0.0,-0.5962578570384447,-0.0,-0.20391755591287822,-0.0,-0.0847829264727379,-0.42610729425522587,-0.0,-0.3312868489012327,-0.04901817473078984,-0.0,-0.1233250499439653,-0.0,-0.6600886809920578,-0.0,-0.6570676801637187,-0.3906836232519612,-0.35009501534863324
2020-03-02,1.0,-0.0,-0.486294698761653,-0.0,-0.0704976578080794,-0.0,-0.0,-0.4546635128240806,-0.0,-0.5289643337507537,-0.13645007188905897,-0.0,-0.008255646769630351,-0.0,-0.6451927090580215,-0.0,-0.493715504846714,-0.3869950373359306,-0.42697463011919673
2020-03-03,1.0,-0.0,-0.5526836651531029,-0.0,-0.05588543485853999,-0.0,-0.0,-0.2775255171343191,-0.0,-0.5082857919043738,-0.10140877867039236,-0.0,-0.1489502076299142,-0.0,-0.25431753793611983,-0.0,-0.2027011293514961,-0.31000892614584546,-0.46924360616292154
2020-03-04,1.0,-0.0,-0.6440038131553861,-0.0,-0.08110581506196378,-0.0,-0.0,-0.18005719733079123,-0.0,-0.40503336510962823,-0.1026882745471878,-0.0,-0.1540133460438513,-0.0,-0.30028598665395617,-0.0,-0.19733079122974262,-0.28198284080076264,-0.4666158245948523
2020-03-05,1.0,-0.0,-0.712893500666059,-0.0,-0.13661221341933674,-0.0,-0.0,-0.1583818271050971,-0.0,-0.41025730912150316,-0.17075650283951482,-0.0,-0.06846385753347822,-0.0,-0.21156138259833135,-0.0,-0.07568533969010727,-0.09075930729860478,-0.4702026221692491
2020-03-06,1.0,-0.0,-0.718279278056724,-0.0,-0.08193106255937033,-0.0,-0.0,-0.18316596553127967,-0.0,-0.3603609716379427,-0.17692359886008957,-0.0,-0.0,-0.0,-0.24005970959424616,-0.0,-0.08189713665354866,-0.14326910028497758,-0.40666983308454335
