Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-16,1.0,-0.0,-0.34689166848622854,-0.1785146136810256,-0.7842103621447957,-0.8096010480676253,0.0
2019-10-17,1.0,-0.0,-0.32296036566276376,-0.21604783670402605,-0.7771899067059045,-0.8144762381817044,0.0
2019-10-18,1.0,-0.0,-0.3554469493930317,-0.21037364023332808,-0.799085606180041,-0.7881759419832887,0.0
2019-10-21,1.0,-0.0,-0.36404268043184035,-0.20587957571370116,-0.7934594441471782,-0.78414277171005,0.0
2019-10-22,1.0,-0.0,-0.3553139027628501,-0.21786685212113546,-0.8045457419232471,-0.7834292217234621,0.0
2019-10-23,1.0,-0.0,-0.35493661281654076,-0.20852960703107715,-0.8060763175365938,-0.7918813821883595,0.0
2019-10-24,1.0,-0.0,-0.3483833939162043,-0.24615777055034757,-0.7981314967157705,-0.7958676104840252,0.0
2019-10-25,1.0,-0.0,-0.3536872508084011,-0.22503374878347407,-0.7699431764668948,-0.7907575424606788,0.0
2019-10-28,1.0,-0.0,-0.3692036844918105,-0.2338331918639379,-0.7654437423370745,-0.77525228708856,0.0
2019-10-29,1.0,-0.0,-0.36844762836494466,-0.2951052482090447,-0.7173604317227886,-0.7749234701928236,0.0
2019-10-30,1.0,-0.0,-0.37823588836974364,-0.2967862103800985,-0.7106326556383382,-0.7713095087763607,0.0
2019-10-31,1.0,-0.0,-0.37633966678258673,-0.29831494420030985,-0.6835066864784547,-0.8032942366665613,0.0
2019-11-01,1.0,-0.0,-0.38545362392295995,-0.30765331981753674,-0.6782184490623416,-0.7964711099847946,0.0
2019-11-04,1.0,-0.0,-0.388394814304503,-0.26072524581950274,-0.7009770150936305,-0.7813615582138159,0.0
2019-11-05,1.0,-0.0,-0.3966895157469122,-0.29980730959977253,-0.680260289983258,-0.7820703162017879,0.0
2019-11-06,1.0,-0.0,-0.3922558922558923,-0.30728670351311865,-0.681881710183597,-0.7949622006225779,0.0
2019-11-07,1.0,-0.0,-0.4004637717988628,-0.3082811854769544,-0.6759315142466885,-0.7918426987706871,0.0
2019-11-08,1.0,-0.0,-0.38770609892748514,-0.30955658716183765,-0.6937730110453018,-0.8105010404994397,0.0
2019-11-11,1.0,-0.0,-0.3774958134741723,-0.3381424706943192,-0.6850122375370347,-0.8197861651423418,0.0
2019-11-12,1.0,-0.0,-0.399370867304359,-0.3348847660011556,-0.6681325030493677,-0.8074725556910831,0.0
2019-11-13,1.0,-0.0,-0.407863525588952,-0.4089033306255077,-0.6324939073923639,-0.8001299756295693,0.0
2019-11-14,1.0,-0.0,-0.4026071370376405,-0.4321981424148606,-0.6278311878768127,-0.7962848297213622,0.0
2019-11-15,1.0,-0.0,-0.4005609549279238,-0.44494814428282564,-0.6178983758398017,-0.7979257713130259,0.0
2019-11-18,1.0,-0.0,-0.395308512726559,-0.44464437610416807,-0.6253680560099457,-0.8062880324543611,0.0
2019-11-19,1.0,-0.0,-0.4481561822125813,-0.4427498748539963,-0.6292674787251793,-0.8170532287668946,0.0
2019-11-20,1.0,-0.0,-0.44561262975201094,-0.44053936784486497,-0.6306198057474718,-0.8209005039885184,0.0
2019-11-21,1.0,-0.0,-0.42710590465872156,-0.492145178764897,-0.6165018959913325,-0.8499458288190682,0.0
2019-11-22,1.0,-0.0,-0.42482665313715534,-0.4987316083206494,-0.6188060206325046,-0.8400135295112463,0.0
2019-11-25,1.0,-0.0,-0.4245200108166577,-0.49509870200108164,-0.6166846944294213,-0.8439021092482423,0.0
2019-11-26,1.0,-0.0,-0.41046087309095824,-0.4983781592107041,-0.6178537640221652,-0.8521421813758615,0.0
2019-11-27,1.0,-0.0,-0.38292151657477363,-0.4861479817575386,-0.642978694438772,-0.89139609284596,0.0
2019-11-29,1.0,-0.0,-0.38773289813681494,-0.4818101455188359,-0.6400108799129607,-0.8904188766489869,0.0
2019-12-02,1.0,-0.0,-0.3889609503003823,-0.49320726379027857,-0.6425791916985254,-0.8886878754778811,0.0
2019-12-03,1.0,-0.0,-0.38406658739595717,-0.4851707151350433,-0.634550704943095,-0.8935620859520977,0.0
2019-12-04,1.0,-0.0,-0.4028592875665347,-0.49648560120103724,-0.6276102088167053,-0.8851166916882761,0.0
2019-12-05,1.0,-0.0,-0.3932220884225013,-0.5216927576122483,-0.6167555479098572,-0.9089282642353346,0.0
2019-12-06,1.0,-0.0,-0.42390094602114636,-0.535962715637173,-0.637451307735114,-0.8807039510294936,0.0
2019-12-09,1.0,-0.0,-0.3976393257235749,-0.5691416051171502,-0.6669965013959077,-0.9001307559105205,0.0
2019-12-10,1.0,-0.0,-0.3868859932378528,-0.7397713026630702,-0.7853588116855981,-0.886942977624131,0.0
2019-12-11,1.0,-0.0,-0.3767183275579757,-0.7500095198202658,-0.7866037089219755,-0.8946346292981988,0.0
2019-12-12,1.0,-0.0,-0.37372852299135206,-0.7503904910663264,-0.7886776639110061,-0.8969103584898472,0.0
2019-12-13,1.0,-0.0,-0.37827829738499713,-0.7761404848253483,-0.7821721702615002,-0.8809314754724183,0.0
2019-12-16,1.0,-0.0,-0.380047415111655,-0.7771489752217805,-0.7818522483940044,-0.8847506882838789,0.0
2019-12-17,1.0,-0.0,-0.3585702553674084,-0.8432990497047437,-0.8327402135231317,-0.8760705486684135,0.0
2019-12-18,1.0,-0.0,-0.3548254281949934,-0.9488224637681159,-0.8918807641633728,-0.9216897233201581,0.0
2019-12-19,1.0,-0.0,-0.36279895906481063,-0.9573299186253046,-0.8881820810442397,-0.922342930315172,0.0
2019-12-20,1.0,-0.0,-0.3735689397710304,-0.9644101543056248,-0.8940600630496102,-0.915961506553841,0.0
2019-12-23,1.0,-0.0,-0.37414258989815,-0.9733111619205986,-0.8862190812720848,-0.9234670546663895,0.0
2019-12-24,1.0,-0.0,-0.3684232382376147,-0.9819774926290438,-0.8755865620198497,-0.9267057015904655,0.0
2019-12-26,1.0,-0.0,-0.3673545654611136,-0.9827264045177097,-0.871486110534402,-0.9307395258065856,0.0
2019-12-27,1.0,-0.0,-0.38000499458919507,-0.9946724381919587,-0.8603179888454174,-0.9271622409056856,0.0
2019-12-30,1.0,-0.0,-0.37763819095477386,-1.0220268006700166,-0.878391959798995,-0.9095896147403684,0.0
2019-12-31,1.0,-0.0,-0.36941078144588385,-1.0255328040117007,-0.8715002089427497,-0.9124529878813205,0.0
2020-01-02,1.0,-0.0,-0.37439926449078526,-1.0257010322203184,-0.8679426637134858,-0.9109866688954824,0.0
