Date,GPC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-19,1.0,-0.0,-0.062000389939559364,-0.0,-0.5692251034422997,-0.5351053919975737,0.0
2019-03-20,1.0,-0.0,-0.06212416179969717,-0.0,-0.5688297642223664,-0.5321436296776985,0.0
2019-03-21,1.0,-0.0,-0.06090526088365562,-0.0,-0.5804040185805337,-0.5192394944366425,0.0
2019-03-22,1.0,-0.0,-0.061688170641643864,-0.0,-0.5877318736695772,-0.5226986402537034,0.0
2019-03-25,1.0,-0.0,-0.040031125713297595,-0.0,-0.5993645166868407,-0.5221122254885008,0.0
2019-03-26,1.0,-0.0,-0.04679856270834235,-0.0,-0.6010433352093164,-0.5167539720334213,0.0
2019-03-27,1.0,-0.0,-0.04886860208540648,-0.0,-0.5991217063989962,-0.5152727902046468,0.0
2019-03-28,1.0,-0.0,-0.04825406446864244,-0.0,-0.5964756564847488,-0.5201220964215357,0.0
2019-03-29,1.0,-0.0,-0.053666254849686804,-0.0,-0.5975247632052365,-0.5162667707046406,0.0
2019-04-01,1.0,-0.0,-0.05390531903369082,-0.0,-0.5973350666233344,-0.5153721156971075,0.0
2019-04-02,1.0,-0.0,-0.06026495800502208,-0.0,-0.605831673737986,-0.49857130487488094,0.0
2019-04-03,1.0,-0.0,-0.05992249907994718,-0.0,-0.6042041001883403,-0.5007035698049488,0.0
2019-04-04,1.0,-0.0,-0.0608914266234873,-0.0,-0.6052070905062212,-0.4644622464632691,0.0
2019-04-05,1.0,-0.0,-0.05980881662612555,-0.0,-0.6044893952972303,-0.46944480006827977,0.0
2019-04-08,1.0,-0.0,-0.06546602936155685,-0.0,-0.6034269375213384,-0.46494110617958345,0.0
2019-04-09,1.0,-0.0,-0.0635667536467468,-0.0,-0.6147067630577062,-0.4605809128630705,0.0
2019-04-10,1.0,-0.0,-0.06569030489893798,-0.0,-0.6118533744433026,-0.4636005481329222,0.0
2019-04-11,1.0,-0.0,-0.05417684625605418,-0.0,-0.6302987441601303,-0.45859585958595867,0.0
2019-04-12,1.0,-0.0,-0.058432425521033116,-0.0,-0.6184418019861058,-0.454119251587606,0.0
2019-04-15,1.0,-0.0,-0.057443399806062646,-0.0,-0.6058434166701799,-0.4447278553058729,0.0
2019-04-16,1.0,-0.0,-0.05701819101620961,-0.0,-0.6055732383381464,-0.4452899390822284,0.0
2019-04-17,1.0,-0.0,-0.060197569349369165,-0.0,-0.6040609137055837,-0.44202455926027334,0.0
2019-04-18,1.0,-0.0,-0.06603197337658234,-0.0,-0.5962676664490174,-0.44400446532004967,0.0
2019-04-22,1.0,-0.0,-0.10436234141998665,-0.0,-0.6505898063654575,-0.4707322501669263,0.0
2019-04-23,1.0,-0.0,-0.11091250335150593,-0.0,-0.645008490481723,-0.4784163017249084,0.0
2019-04-24,1.0,-0.0,-0.11546290290111168,-0.0,-0.6449549287583599,-0.476368353949046,0.0
2019-04-25,1.0,-0.0,-0.10977686172596111,-0.0,-0.6500358455058698,-0.4805314096245183,0.0
2019-04-26,1.0,-0.0,-0.10786360473208073,-0.0,-0.6473836621994747,-0.48959525893999595,0.0
2019-04-29,1.0,-0.0,-0.10427741515824417,-0.0,-0.6456496871004643,-0.4930803220958661,0.0
2019-04-30,1.0,-0.0,-0.10154758428606725,-0.0,-0.6543204330540644,-0.49024056063430743,0.0
2019-05-01,1.0,-0.0,-0.10124960668854227,-0.0,-0.6584932799928079,-0.4877511574594327,0.0
2019-05-02,1.0,-0.0,-0.10411447401087863,-0.0,-0.6682014128692982,-0.4846638228722323,0.0
2019-05-03,1.0,-0.0,-0.11618698524753371,-0.0,-0.6639288623404833,-0.4825323558693094,0.0
2019-05-06,1.0,-0.0,-0.1015049487052018,-0.0,-0.6707868215302571,-0.4873909703077688,0.0
2019-05-07,1.0,-0.0,-0.09904211097054039,-0.0,-0.6726233508042654,-0.4875067775167179,0.0
2019-05-08,1.0,-0.0,-0.10166091992878551,-0.0,-0.6581254366393978,-0.49383634191963577,0.0
2019-05-09,1.0,-0.0,-0.10262879282769807,-0.0,-0.660329331200865,-0.48967179510283154,0.0
2019-05-10,1.0,-0.0,-0.1012988767080116,-0.0,-0.6633500664070414,-0.4864146950903811,0.0
2019-05-13,1.0,-0.0,-0.10140654889163947,-0.0,-0.6619556655789355,-0.48711601215258243,0.0
2019-05-14,1.0,-0.0,-0.09518494542045226,-0.0,-0.6577449382771169,-0.47936245730740895,0.0
2019-05-15,1.0,-0.0,-0.09180123115353735,-0.0,-0.6669640467481488,-0.4715853332143813,0.0
2019-05-16,1.0,-0.0,-0.09290299572039944,-0.0,-0.6628031383737518,-0.47325249643366624,0.0
2019-05-17,1.0,-0.0,-0.09062688433794135,-0.0,-0.6673068762980995,-0.47535565133885704,0.0
2019-05-20,1.0,-0.0,-0.0789772600726074,-0.0,-0.6719748769460344,-0.47626895921958173,0.0
2019-05-21,1.0,-0.0,-0.0778749638334335,-0.0,-0.6713404998775901,-0.4764193986334602,0.0
2019-05-22,1.0,-0.0,-0.07851700013368389,-0.0,-0.6714718595428012,-0.47809812396952006,0.0
2019-05-23,1.0,-0.0,-0.08493985280056922,-0.0,-0.6806306005825717,-0.45798590265270267,0.0
2019-05-24,1.0,-0.0,-0.08498375539632383,-0.0,-0.6833414927233077,-0.4569851795807557,0.0
2019-05-28,1.0,-0.0,-0.084938392420266,-0.0,-0.683732930029803,-0.4554290289577866,0.0
2019-05-29,1.0,-0.0,-0.08557446335224113,-0.0,-0.6844177510844177,-0.4544544544544545,0.0
2019-05-30,1.0,-0.0,-0.08232730829942862,-0.0,-0.6823406478578893,-0.45859178727850775,0.0
2019-05-31,1.0,-0.0,-0.08193071511265473,-0.0,-0.6932496215157182,-0.4512200552141776,0.0
2019-06-03,1.0,-0.0,-0.0858250276854928,-0.0,-0.7029457364341085,-0.4260908084163898,0.0
2019-06-04,1.0,-0.0,-0.09105593910426624,-0.0,-0.6990396530359356,-0.42266330323951146,0.0
2019-06-05,1.0,-0.0,-0.09152065425286346,-0.0,-0.7043111218589927,-0.40257656033592015,0.0
2019-06-06,1.0,-0.0,-0.09353640579327926,-0.0,-0.6991055141645238,-0.40511197556097667,0.0
2019-06-07,1.0,-0.0,-0.09774436090225563,-0.0,-0.6914662750169885,-0.4028803787895395,0.0
2019-06-10,1.0,-0.0,-0.09876407700919808,-0.0,-0.6949267885759446,-0.40157618598116485,0.0
2019-06-11,1.0,-0.0,-0.09773477017813943,-0.0,-0.7047063998240598,-0.39683307675390367,0.0
2019-06-12,1.0,-0.0,-0.094439307885352,-0.0,-0.7047285695416722,-0.4022145907629992,0.0
2019-06-13,1.0,-0.0,-0.09790702797973122,-0.0,-0.7024895351398985,-0.4027318792685613,0.0
2019-06-14,1.0,-0.0,-0.09621145374449339,-0.0,-0.7098898678414097,-0.3965418502202643,0.0
2019-06-17,1.0,-0.0,-0.09400259894720614,-0.0,-0.7128824086514107,-0.39561262471642844,0.0
2019-06-18,1.0,-0.0,-0.09581563249763378,-0.0,-0.7088551869868592,-0.39649138253615374,0.0
2019-06-19,1.0,-0.0,-0.09604271494803454,-0.0,-0.711849882446002,-0.3894003647469842,0.0
2019-06-20,1.0,-0.0,-0.09658978474527824,-0.0,-0.711703788395154,-0.3904047844154702,0.0
2019-06-21,1.0,-0.0,-0.09904799595453245,-0.0,-0.7118923553855286,-0.38768331024778485,0.0
2019-06-24,1.0,-0.0,-0.10133625410733844,-0.0,-0.7115881708652793,-0.37765607886089814,0.0
2019-06-25,1.0,-0.0,-0.10158285351489808,-0.0,-0.7111456531733695,-0.3765571294086739,0.0
2019-06-26,1.0,-0.0,-0.10310157155034863,-0.0,-0.708356101505978,-0.3742869008327687,0.0
2019-06-27,1.0,-0.0,-0.10921052631578947,-0.0,-0.7281798245614035,-0.3555921052631579,0.0
2019-06-28,1.0,-0.0,-0.113102541630149,-0.0,-0.7237730061349694,-0.3541849255039439,0.0
2019-07-01,1.0,-0.0,-0.11232066586354178,-0.0,-0.7256160332931771,-0.3524038988062644,0.0
2019-07-02,1.0,-0.0,-0.11094574186346823,-0.0,-0.7250541705881065,-0.35271071811595783,0.0
2019-07-03,1.0,-0.0,-0.11112813218076376,-0.0,-0.7248057774373563,-0.3524893314366998,0.0
2019-07-05,1.0,-0.0,-0.07744137016670652,-0.0,-0.7398552457127953,-0.3561911799865244,0.0
2019-07-08,1.0,-0.0,-0.07686122821504629,-0.0,-0.7380590203833283,-0.3581207353644226,0.0
2019-07-09,1.0,-0.0,-0.07567168393388503,-0.0,-0.7386894289872071,-0.3576160378792815,0.0
2019-07-10,1.0,-0.0,-0.057770916681161945,-0.0,-0.751304574708645,-0.36521568968516266,0.0
2019-07-11,1.0,-0.0,-0.05395011298452981,-0.0,-0.7602989744481141,-0.3585303320006953,0.0
2019-07-12,1.0,-0.0,-0.0552116591733455,-0.0,-0.7656002258856237,-0.3511652657414044,0.0
2019-07-15,1.0,-0.0,-0.05431448893915994,-0.0,-0.76062036412677,-0.36025493224283817,0.0
2019-07-16,1.0,-0.0,-0.05875824247568062,-0.0,-0.760157559139083,-0.3573371635002503,0.0
2019-07-17,1.0,-0.0,-0.059811579382519964,-0.0,-0.757838167141707,-0.35810796109745213,0.0
2019-07-18,1.0,-0.0,-0.05523211107937693,-0.0,-0.7697124151415954,-0.3720587912208625,0.0
2019-07-19,1.0,-0.0,-0.05680052251075426,-0.0,-0.8231120920699985,-0.3722889124118826,0.0
2019-07-22,1.0,-0.0,-0.05672359438434148,-0.0,-0.8456374316753986,-0.3656528543240117,0.0
2019-07-23,1.0,-0.0,-0.056025777757607385,-0.0,-0.8478295400394835,-0.36529079398216435,0.0
2019-07-24,1.0,-0.0,-0.05554043016607677,-0.0,-0.846741991106271,-0.366526000544514,0.0
2019-07-25,1.0,-0.0,-0.04990703369461702,-0.0,-0.8551086118543376,-0.3624552174504557,0.0
2019-07-26,1.0,-0.0,-0.042051096048783806,-0.0,-0.8609706889125655,-0.36388366241244074,0.0
2019-07-29,1.0,-0.0,-0.04407669843569602,-0.0,-0.8557942634641069,-0.36395535734498446,0.0
2019-07-30,1.0,-0.0,-0.041016022236785604,-0.0,-0.8529298772909086,-0.36589003638335854,0.0
2019-07-31,1.0,-0.0,-0.03589304234116427,-0.0,-0.8530910402669433,-0.3656040041484421,0.0
2019-08-01,1.0,-0.0,-0.04260928346101848,-0.0,-0.8493465525011267,-0.36131140153222174,0.0
2019-08-02,1.0,-0.0,-0.04338256982733193,-0.0,-0.8479341093186304,-0.37764617793206723,0.0
2019-08-05,1.0,-0.0,-0.04548565171768785,-0.0,-0.8514074547196496,-0.3842100460787445,0.0
2019-08-06,1.0,-0.0,-0.050039570378745055,-0.0,-0.8281514980214811,-0.3829960429621255,0.0
2019-08-07,1.0,-0.0,-0.04945229042187217,-0.0,-0.8316358862936809,-0.38217454282093066,0.0
2019-08-08,1.0,-0.0,-0.05011900714042843,-0.0,-0.8322792700895387,-0.3844043975971892,0.0
2019-08-09,1.0,-0.0,-0.0458634719710669,-0.0,-0.8255198915009041,-0.3890144665461121,0.0
2019-08-12,1.0,-0.0,-0.04473398970282721,-0.0,-0.8338903441423539,-0.37950501309728113,0.0
2019-08-13,1.0,-0.0,-0.039382746821961884,-0.0,-0.843058167727901,-0.38353991525231695,0.0
2019-08-14,1.0,-0.0,-0.03753089779350069,-0.0,-0.8453636301789238,-0.38483343538109166,0.0
2019-08-15,1.0,-0.0,-0.049145683453237415,-0.0,-0.8336106115107914,-0.36544514388489213,0.0
2019-08-16,1.0,-0.0,-0.052767544253751464,-0.0,-0.8284661694671579,-0.3651271452960733,0.0
2019-08-19,1.0,-0.0,-0.042957289077023,-0.0,-0.8331429595287688,-0.3635915697999956,0.0
2019-08-20,1.0,-0.0,-0.046383226037195996,-0.0,-0.8320144849785408,-0.3569384835479256,0.0
2019-08-21,1.0,-0.0,-0.048064472920480425,-0.0,-0.835536009286958,-0.34884136268250215,0.0
2019-08-22,1.0,-0.0,-0.0502195573189488,-0.0,-0.825825290328333,-0.35298575663687226,0.0
2019-08-23,1.0,-0.0,-0.048751671868033884,-0.0,-0.8257913508693714,-0.3545920641997325,0.0
2019-08-26,1.0,-0.0,-0.04524886877828054,-0.0,-0.8226199982255344,-0.3502129358530742,0.0
2019-08-27,1.0,-0.0,-0.0430236164650627,-0.0,-0.8186450440870221,-0.35378173600957064,0.0
2019-08-28,1.0,-0.0,-0.03552366398688902,-0.0,-0.828604965340066,-0.3505857861050207,0.0
2019-08-29,1.0,-0.0,-0.030328540729745897,-0.0,-0.8311881078446577,-0.35384035977757594,0.0
2019-08-30,1.0,-0.0,-0.027346342758529138,-0.0,-0.8339085800256649,-0.35123235541395637,0.0
2019-09-03,1.0,-0.0,-0.02172374126183524,-0.0,-0.8286213609415096,-0.36184850898150606,0.0
2019-09-04,1.0,-0.0,-0.007788816852167371,-0.0,-0.8346867877768681,-0.37025645564578585,0.0
2019-09-05,1.0,-0.0,-0.008175892166611425,-0.0,-0.8352889183515634,-0.3662357750524804,0.0
2019-09-06,1.0,-0.0,-0.010713015647226173,-0.0,-0.8312366642958748,-0.3806454480796586,0.0
2019-09-09,1.0,-0.0,-0.005181808072945625,-0.0,-0.8319137106638497,-0.38685644390081175,0.0
2019-09-10,1.0,-0.0,-0.008677319130048825,-0.0,-0.8206835330670218,-0.3899023524189969,0.0
2019-09-11,1.0,-0.0,-0.01866310755199644,-0.0,-0.7960627293960628,-0.4096985874763653,0.0
2019-09-12,1.0,-0.0,-0.024119150828053795,-0.0,-0.7922863176614426,-0.4065577414693787,0.0
2019-09-13,1.0,-0.0,-0.02290364901825621,-0.0,-0.7883302572769117,-0.41244357474817106,0.0
2019-09-16,1.0,-0.0,-0.02551429334758215,-0.0,-0.7865571288627661,-0.4143067058509217,0.0
2019-09-17,1.0,-0.0,-0.012699968807094158,-0.0,-0.7929013858562454,-0.4224410676886057,0.0
2019-09-18,1.0,-0.0,-0.023019724831915934,-0.0,-0.7892604301171022,-0.41399884233492135,0.0
2019-09-19,1.0,-0.0,-0.037457082733414554,-0.0,-0.7586222172998117,-0.419027577804851,0.0
2019-09-20,1.0,-0.0,-0.04876533623233421,-0.0,-0.7550418210458589,-0.41479377898076447,0.0
2019-09-23,1.0,-0.0,-0.05556662460428151,-0.0,-0.741626264638817,-0.4166389940448518,0.0
2019-09-24,1.0,-0.0,-0.05737178777750724,-0.0,-0.7416277474047677,-0.41441820314748,0.0
2019-09-25,1.0,-0.0,-0.059727566228826676,-0.0,-0.7428906284551767,-0.4086727698907611,0.0
2019-09-26,1.0,-0.0,-0.04843075408809252,-0.0,-0.7888508601212447,-0.39970471780417427,0.0
2019-09-27,1.0,-0.0,-0.044897409419476494,-0.0,-0.7942576213352489,-0.40571544021909933,0.0
2019-09-30,1.0,-0.0,-0.015363443577133061,-0.0,-0.8169020439471191,-0.4237467851825114,0.0
2019-10-01,1.0,-0.0,-0.0,-0.0,-0.8228931951329429,-0.4303740423614241,0.0
2019-10-02,1.0,-0.0,-0.010485939308654305,-0.0,-0.8340634149662952,-0.4251117819287773,0.0
