Date,IWF,IWM,KKR,MTUM,SPY,VLUE,VXX
2020-01-06,-0.0,-0.32700165654334623,1.0,-0.9213325970918461,-0.8812442481133812,-0.5515921222160869,0.0
2020-01-07,-0.0,-0.3282302285356788,1.0,-0.9209877451882381,-0.8776358885658557,-0.5532697898649395,0.0
2020-01-08,-0.0,-0.3259133890135767,1.0,-0.921336325839803,-0.874167555833548,-0.5578939622502668,0.0
2020-01-09,-0.0009956119325933849,-0.3260813451823445,1.0,-0.9245178657030126,-0.8798997013164203,-0.5559202035473285,0.0
2020-01-10,-0.01591521731102987,-0.3241756212842953,1.0,-0.9259628521841882,-0.8744137956500868,-0.5521583397954285,0.0
2020-01-13,-0.011690945970864836,-0.3234003319196017,1.0,-0.9259450488659414,-0.8738705513553383,-0.5530886962935644,0.0
2020-01-14,-0.05368206269708774,-0.3101094416620293,1.0,-0.9409757002411425,-0.8738267482841773,-0.5313299944351697,0.0
2020-01-15,-0.08593604238964139,-0.3014664726295757,1.0,-0.9426097988730923,-0.8874211724318072,-0.5140117168551066,0.0
2020-01-16,-0.11436638310354942,-0.3052214725726019,1.0,-0.8913904370783221,-0.8726166031094161,-0.4831695511880316,0.0
2020-01-17,-0.11828352716031208,-0.31440453407919916,1.0,-0.8929044604740173,-0.8768953334314735,-0.4777712350949506,0.0
2020-01-21,-0.12375323236054674,-0.3037680088659032,1.0,-0.9023642408570373,-0.8850387883265607,-0.47920206871074994,0.0
2020-01-22,-0.1117742410845859,-0.30702917771883287,1.0,-0.8961464780430297,-0.8758473327438845,-0.4932213380489242,0.0
2020-01-23,-0.12365212880275687,-0.2854707822284804,1.0,-0.8939859932560121,-0.8692333345684959,-0.5331455886167414,0.0
2020-01-24,-0.12217647713363745,-0.28745224583657875,1.0,-0.8950706576165572,-0.8714439375394087,-0.5328808278624679,0.0
2020-01-27,-0.11706305104838113,-0.2749499888864192,1.0,-0.8992368674520264,-0.874786989701415,-0.5384529895532341,0.0
2020-01-28,-0.09311695992902559,-0.29912760609197103,1.0,-0.9193035635073192,-0.8705086500073932,-0.5145275765192963,0.0
2020-01-29,-0.07921230224582364,-0.30261459600988305,1.0,-0.9207139432828114,-0.8670206881292178,-0.5181251613379061,0.0
2020-01-30,-0.11786256152166673,-0.3022980424083188,1.0,-0.9020464049143322,-0.9003441512785404,-0.4780002220330829,0.0
2020-01-31,-0.10737830086781631,-0.3241089053596037,1.0,-0.9002197474766285,-0.9085627025215092,-0.4842638459532943,0.0
2020-02-03,-0.1150963597430407,-0.2991740593453656,1.0,-0.9607295809115938,-0.9426047721015602,-0.5061945549097584,0.0
2020-02-04,-0.0912463191709052,-0.28551761061608477,1.0,-0.9619488316952847,-0.9597307736433516,-0.5257944854487744,0.0
2020-02-05,-0.07951256664127951,-0.2884234577303884,1.0,-0.9586824067022086,-0.9610053313023609,-0.5204874333587205,0.0
2020-02-06,-0.10774832176584366,-0.29825160238176507,1.0,-0.9571433989456516,-0.9340463458110516,-0.49542989342739024,0.0
2020-02-07,-0.12407519251094672,-0.2885399365846293,1.0,-0.9340555639438322,-0.9282424882983542,-0.49981126377774426,0.0
2020-02-10,-0.12539598732840548,-0.28424347563735103,1.0,-0.9335872680645647,-0.9292125509126565,-0.4988308945542314,0.0
2020-02-11,-0.1178818921361856,-0.2811087677011148,1.0,-0.931530581500452,-0.9264085567942152,-0.5092271768605002,0.0
2020-02-12,-0.11236039277415485,-0.2840491717262574,1.0,-0.9366239412337906,-0.9197961172325912,-0.4950528446143468,0.0
2020-02-13,-0.09045415208639049,-0.28724084734921174,1.0,-0.9662113857847011,-0.9282462279414532,-0.49049930390939533,0.0
2020-02-14,-0.08419752162030623,-0.30324585376811053,1.0,-0.9803451761446594,-0.8798247912844894,-0.49620006738796746,0.0
2020-02-18,-0.08535398892381381,-0.3030983385720701,1.0,-0.9777727885047148,-0.8784238886394252,-0.49726837299805426,0.0
2020-02-19,-0.08110132983704813,-0.33114815508522194,1.0,-0.9801460947743023,-0.8597864768683273,-0.4938377973403259,0.0
2020-02-20,-0.0972425436128306,-0.33048208591258676,1.0,-0.9710373288313637,-0.8594635152879384,-0.49345338585631215,0.0
2020-02-21,-0.09452475470002247,-0.3333832671709985,1.0,-0.9676803235712682,-0.8567523031982623,-0.49265972586323126,0.0
2020-02-24,-0.08170768307322929,-0.34003601440576225,1.0,-0.9744897959183673,-0.8641956782713085,-0.4910714285714285,0.0
2020-02-25,-0.10939044481054366,-0.3707486728903533,1.0,-0.9444993593263774,-0.7697235950942705,-0.46663005674537794,0.0
2020-02-26,-0.11855927963981991,-0.36028728650039304,1.0,-0.9080254412920746,-0.7469806331737298,-0.4393625384120632,0.0
2020-02-27,-0.1391412791733476,-0.35478353821485836,1.0,-0.8900053447354356,-0.7487261713878497,-0.43050062355246743,0.0
2020-02-28,-0.14671854202928228,-0.4095082079109928,1.0,-0.8038633493737415,-0.6408654994710078,-0.41189720487355386,0.0
2020-03-02,-0.1613595341075503,-0.39130878997377655,1.0,-0.7947757381738922,-0.6453019105677213,-0.41293464564247523,0.0
2020-03-03,-0.16608087245015277,-0.42929409059553925,1.0,-0.7008836185658445,-0.5927799494136584,-0.3957560030220412,0.0
2020-03-04,-0.1356285863328117,-0.45223656755346897,1.0,-0.7194183620239958,-0.57094418362024,-0.3820422535211268,0.0
2020-03-05,-0.13820777160983347,-0.5352894528152261,1.0,-0.6336875495638383,-0.5186042823156225,-0.3462965900079302,0.0
2020-03-06,-0.15127583928515242,-0.5537236887644338,1.0,-0.6157379731302898,-0.49290501211339394,-0.3327250416889532,0.0
