Date,IWF,IWM,MTUM,NXJ,SPY,VLUE,VXX
2019-06-21,-0.0,-0.019267053701015967,-0.03686502177068215,1.0,-0.13115626511852926,-0.022194000967585874,0.0
2019-06-24,-0.0,-0.01823951167522527,-0.03891338048638698,1.0,-0.12803991861253755,-0.025930142428059296,0.0
2019-06-25,-0.0,-0.01480099803783823,-0.040018410406724644,1.0,-0.12992660061529518,-0.026464959666674743,0.0
2019-06-26,-0.0,-0.01425782907578715,-0.03969399013106048,1.0,-0.13052703046762285,-0.027933705944399315,0.0
2019-06-27,-0.0,-0.013649434003469988,-0.04245277295834799,1.0,-0.1311922932262409,-0.025988522342606863,0.0
2019-06-28,-0.0,-0.017629002317370572,-0.04253770276992514,1.0,-0.12754031132842358,-0.025588138945171743,0.0
2019-07-01,-0.0,-0.014745649669556783,-0.04398229551931122,1.0,-0.13186200206148063,-0.02203359000788213,0.0
2019-07-02,-0.0,-0.01566927417597055,-0.04293913927974619,1.0,-0.12976193359327698,-0.022559395509917417,0.0
2019-07-03,-0.0,-0.01162649726007468,-0.0463847534067213,1.0,-0.13252267106347898,-0.02182241404393579,0.0
2019-07-05,-0.0,-0.011291691934505762,-0.046719223771983016,1.0,-0.1328077622801698,-0.022037598544572466,0.0
2019-07-08,-0.0,-0.010382175647976326,-0.04765370107581657,1.0,-0.1331732343630608,-0.021661875826268363,0.0
2019-07-09,-0.0,-0.011075930171901347,-0.047251640766216595,1.0,-0.13333575960500296,-0.02147250427630382,0.0
2019-07-10,-0.0,-0.011251775158702224,-0.047920181582045716,1.0,-0.13436585869129838,-0.02024591258329591,0.0
2019-07-11,-0.0,-0.009296051912070285,-0.050162225219642004,1.0,-0.13642715662328508,-0.019284750829353648,0.0
2019-07-12,-0.0,-0.007330326643245281,-0.05041271076208653,1.0,-0.13757430617181898,-0.020337705595604234,0.0
2019-07-15,-0.0,-0.009171522059091849,-0.05172057267275669,1.0,-0.13655106980817652,-0.01893907141380107,0.0
2019-07-16,-0.0,-0.010147713722531818,-0.051870148200423426,1.0,-0.13641009417662375,-0.018324288808312852,0.0
2019-07-17,-0.0,-0.012546394888956496,-0.050964405232735016,1.0,-0.1364648615759051,-0.016939458472771524,0.0
2019-07-18,-0.0,-0.012859000692781702,-0.05260279300412023,1.0,-0.13399856582033862,-0.01594613318424347,0.0
2019-07-19,-0.0,-0.01303560798415803,-0.05142565572874273,1.0,-0.1356529345303901,-0.014748581633520828,0.0
2019-07-22,-0.0,-0.015813106796116506,-0.0524878640776699,1.0,-0.13399271844660193,-0.01129854368932039,0.0
2019-07-23,-0.0,-0.01561418632605238,-0.05343548524180134,1.0,-0.13439613409259238,-0.010708952052549143,0.0
2019-07-24,-0.0,-0.01598215043593195,-0.05883565547431094,1.0,-0.13121612281276146,-0.006572325900056993,0.0
2019-07-25,-0.0,-0.021291592737525216,-0.056121332912038496,1.0,-0.12734851615098558,-0.010512116277374035,0.0
2019-07-26,-0.0,-0.021047134407753316,-0.056558860321354404,1.0,-0.12701150123270868,-0.00986166943975516,0.0
2019-07-29,-0.0,-0.017500121613075837,-0.05579607919443498,1.0,-0.1291287639246972,-0.013693632339349126,0.0
2019-07-30,-0.0,-0.01738050900062073,-0.05609717505872616,1.0,-0.12888109930502306,-0.014751524445904994,0.0
2019-07-31,-0.0,-0.023165788160249307,-0.05553459042935226,1.0,-0.1266631769875954,-0.011954179702241104,0.0
2019-08-01,-0.0,-0.028701733049559135,-0.05453329279416235,1.0,-0.12499847978108847,-0.00792946184250532,0.0
