Date,IWF,IWM,MTUM,SPY,UIS,VLUE,VXX
2020-01-24,-0.5290962939245978,-0.738013287440967,-2.1501640918914595,-2.16769390858881,1.0,-1.4194348835347794,0.0
2020-01-27,-0.5145428250040174,-0.7676361883336011,-2.1554716374738874,-2.1887353366543465,1.0,-1.4083239595050618,0.0
2020-01-28,-0.47307353764903576,-0.7957109706329519,-2.178282787869089,-2.1842842282147714,1.0,-1.37064895574938,0.0
2020-01-29,-0.3799074488729662,-0.793700552321242,-2.0135841170323934,-2.0321689804448426,1.0,-1.2444394685773996,0.0
2020-01-30,-0.3815114810135989,-0.8050828565059078,-1.9979936092739838,-2.013301627405811,1.0,-1.2331871888236605,0.0
2020-01-31,-0.3436477238916989,-0.8494495685807795,-1.9934543290687297,-2.012347515620351,1.0,-1.2393632847366853,0.0
2020-02-03,-0.3437731928157934,-0.8204690515066053,-2.0020780762950867,-2.0131364108653704,1.0,-1.2423185394092326,0.0
2020-02-04,-0.32037900658820045,-0.8067954696868755,-1.9934858242653046,-2.021763268931823,1.0,-1.2600488563180103,0.0
2020-02-05,-0.28858715596330275,-0.810275229357798,-1.9820183486238532,-2.014678899082569,1.0,-1.2438165137614678,0.0
2020-02-06,-0.28286705543662805,-0.8245367978150143,-1.9808075588691223,-2.0323318815974014,1.0,-1.261091016461209,0.0
2020-02-07,-1.8868118089593071,-1.6439074432919183,-2.6024165051863672,-2.3397925453094723,1.0,-1.925681066909837,0.0
2020-02-10,-1.896059394631639,-1.6350656767561393,-2.6150770988006853,-2.348486579097658,1.0,-1.927355796687607,0.0
2020-02-11,-1.8915979853479856,-1.64010989010989,-2.6163003663003668,-2.3545100732600734,1.0,-1.944368131868132,0.0
2020-02-12,-1.8925014310246138,-1.6393817973669147,-2.6155695477962224,-2.355466514024041,1.0,-1.945277618775043,0.0
2020-02-13,-1.8906947464804853,-1.6425546526267596,-2.6185189424287514,-2.355842966693373,1.0,-1.9379649765365685,0.0
2020-02-14,-1.8987677070137048,-1.659910169296326,-2.648278244846251,-2.364620522860762,1.0,-1.9451802372451916,0.0
2020-02-18,-1.8983402489626557,-1.6642461964038726,-2.6463808206546795,-2.365260488704472,1.0,-1.9517058552328261,0.0
2020-02-19,-1.9029418577716006,-1.6971276349316655,-2.6538105165624275,-2.3670372944174196,1.0,-1.9611999073430624,0.0
