Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WH
2020-03-31,-0.3663552535792284,-0.7135707352584324,-0.2708080562970153,-0.5292708080562971,-0.1532091725309391,0.0,1.0
2020-04-01,-0.3675547876693644,-0.719802370343427,-0.2653450941165773,-0.5288411991149101,-0.14958625079567156,0.0,1.0
2020-04-02,-0.3670410851070272,-0.7216688364770354,-0.2622846589360865,-0.5316237246056497,-0.14505434618062915,0.0,1.0
2020-04-03,-0.3639532064492666,-0.7358467693053704,-0.26827494241726274,-0.5119408413140987,-0.15068493150684933,0.0,1.0
2020-04-06,-0.3654982276486806,-0.7332989971824159,-0.2670948586663435,-0.5126791286696762,-0.15105886630108767,0.0,1.0
2020-04-07,-0.36228340276519955,-0.7300911670591077,-0.2644750347159331,-0.5114109762724144,-0.15048602306345468,0.0,1.0
2020-04-08,-0.3618909617822858,-0.7299704159874418,-0.2635392139105235,-0.511380788504498,-0.15202559922719314,0.0,1.0
2020-04-09,-0.3611980195012302,-0.7420187722122658,-0.26041128762795784,-0.5166610977795328,-0.15728562315847028,0.0,1.0
2020-04-13,-0.366842712317125,-0.7262793662356584,-0.26500940933649003,-0.5174831542524131,-0.15965519334668854,0.0,1.0
2020-04-14,-0.3641123999147563,-0.7472219685207173,-0.24833318111243038,-0.5221785855633696,-0.1626023685572503,0.0,1.0
2020-04-15,-0.3560021859250713,-0.7539923492622502,-0.24196976136984635,-0.5216467302204141,-0.1623656566883235,0.0,1.0
2020-04-16,-0.3753147850359538,-0.732940926605783,-0.25586334536848815,-0.5271701204526836,-0.14284413968870413,0.0,1.0
2020-04-17,-0.3773447459479148,-0.7391185576397743,-0.2542342014205063,-0.5251927396345535,-0.1393795908456262,0.0,1.0
2020-04-20,-0.3828968109615618,-0.7300836667879229,-0.25776039772038317,-0.5242209288226022,-0.13644355523220567,0.0,1.0
2020-04-21,-0.38654490106544903,-0.7270015220700152,-0.25467275494672753,-0.5326636225266362,-0.14325722983257227,0.0,1.0
2020-04-22,-0.38115040218546054,-0.7362270450751252,-0.24641068447412354,-0.5339201699802701,-0.1376233115799059,0.0,1.0
2020-04-23,-0.38072406154219646,-0.7370497375049313,-0.24519770582344552,-0.5341243589354535,-0.1375292082663187,0.0,1.0
2020-04-24,-0.37719378288773303,-0.748000121665602,-0.24366578459105148,-0.5342944915898653,-0.138485871581957,0.0,1.0
2020-04-27,-0.38408578565771034,-0.7450496557606775,-0.23813440565405472,-0.5349722780722598,-0.14412356059221348,0.0,1.0
2020-04-28,-0.3782413487676003,-0.7624690754711219,-0.2349653339849119,-0.5329403500198528,-0.14565834885922851,0.0,1.0
2020-04-29,-0.37667216419277993,-0.7651640095290452,-0.23184289292040805,-0.531946735080325,-0.14852483049294485,0.0,1.0
2020-04-30,-0.3769383697813121,-0.7730539837895701,-0.22905643064688788,-0.5309986236427587,-0.1484936534638324,0.0,1.0
2020-05-01,-0.36568696558276376,-0.7905850623678323,-0.22654693677403534,-0.5263109503815624,-0.1556284286983971,0.0,1.0
2020-05-04,-0.3633418897445301,-0.7886872020535387,-0.22848673756264518,-0.5296418530741963,-0.14570345923481237,0.0,1.0
2020-05-05,-0.36175868495829383,-0.7869473555562345,-0.2237465244889853,-0.5322802407650707,-0.1506614928656543,0.0,1.0
2020-05-06,-0.373054923427025,-0.7902700043053077,-0.23205609201057872,-0.5364413555569223,-0.14339750292145886,0.0,1.0
2020-05-07,-0.38097290640394094,-0.7914100985221676,-0.2346366995073892,-0.5338977832512316,-0.13790024630541875,0.0,1.0
2020-05-08,-0.39290595104981985,-0.8017144986954902,-0.22909678220897006,-0.5475524909926699,-0.1346751149211082,0.0,1.0
2020-05-11,-0.40021106213917684,-0.7887516295238687,-0.2359860947296542,-0.5527034576944565,-0.1262027438078093,0.0,1.0
2020-05-12,-0.3964028330019881,-0.7911282306163023,-0.22514910536779326,-0.5567842942345925,-0.13689736580516898,0.0,1.0
2020-05-13,-0.39714684447201115,-0.78040006202512,-0.22738409055667544,-0.5624748022949294,-0.13381919677469375,0.0,1.0
2020-05-14,-0.39833136902177285,-0.7815272005458719,-0.2218844984802432,-0.5651014205074127,-0.13470008064015881,0.0,1.0
2020-05-15,-0.3950567512249581,-0.7813372201203249,-0.22083359176331946,-0.5653414376976988,-0.13862184456986912,0.0,1.0
2020-05-18,-0.3972734612756972,-0.7806657971554563,-0.2179057201416061,-0.5639090739705609,-0.14564312775604,0.0,1.0
2020-05-19,-0.3972759990071978,-0.7808078927773642,-0.21627575080665176,-0.5637875403325887,-0.14432861752295856,0.0,1.0
2020-05-20,-0.40523993038289413,-0.7695487319741422,-0.22544753853804075,-0.5653592739930383,-0.14231103928393835,0.0,1.0
2020-05-21,-0.40498152116525354,-0.7633777446504549,-0.23050405292089815,-0.5662598217335942,-0.14053231466815738,0.0,1.0
2020-05-22,-0.4055455505185369,-0.7659752841085512,-0.2276904924548221,-0.5654846922933615,-0.14028441905235048,0.0,1.0
2020-05-26,-0.4057259967705875,-0.7663644267792821,-0.2281393615699913,-0.5653334989442306,-0.13964103838032543,0.0,1.0
2020-05-27,-0.4144454799627213,-0.7598633115874495,-0.24001242621932276,-0.5655793724759242,-0.12665424044734389,0.0,1.0
2020-05-28,-0.42065217391304344,-0.7570807453416148,-0.24298136645962734,-0.5668012422360248,-0.1181055900621118,0.0,1.0
2020-05-29,-0.41721525276363186,-0.7634765867594088,-0.2395044093901379,-0.5622903987082349,-0.12274872686622781,0.0,1.0
2020-06-01,-0.4174712072765653,-0.7718312482538104,-0.22959674665507712,-0.562381647161084,-0.1230559091050197,0.0,1.0
2020-06-02,-0.42200348866184895,-0.7776289558933467,-0.23137303762770994,-0.5632319960129579,-0.12063917268876152,0.0,1.0
2020-06-03,-0.42185114801084145,-0.7779370073834075,-0.23698557587463784,-0.5609520545811396,-0.11760490981027447,0.0,1.0
2020-06-04,-0.4221038200286658,-0.7782763133295943,-0.23658627780893624,-0.5618184084252508,-0.11709353773290958,0.0,1.0
2020-06-05,-0.4156390134529148,-0.7734803188839062,-0.23081714000996512,-0.5621885899352267,-0.13197558545092178,0.0,1.0
2020-06-08,-0.41673663588021265,-0.768293062163759,-0.24122275087850234,-0.5582610318126691,-0.1252293435332898,0.0,1.0
2020-06-09,-0.429857908513025,-0.763180855041755,-0.24878474386139848,-0.563504923345382,-0.11074411068178987,0.0,1.0
2020-06-10,-0.4274095540805834,-0.76641425944969,-0.2477330092549313,-0.5649247452556793,-0.10965691315322054,0.0,1.0
2020-06-11,-0.4189555728760717,-0.7817303195635231,-0.23220576773187843,-0.5647388932190179,-0.12006235385814498,0.0,1.0
2020-06-12,-0.412604704355083,-0.7559113528884494,-0.25345408462893704,-0.5543226285043118,-0.11461070070781691,0.0,1.0
2020-06-15,-0.4142865974282889,-0.7535546488625124,-0.2555947082096934,-0.5552361523244314,-0.1123269040553907,0.0,1.0
2020-06-16,-0.41143843214593867,-0.7524651793417971,-0.2450388265746333,-0.5532478737828178,-0.11928386540120794,0.0,1.0
2020-06-17,-0.4104245558942151,-0.751762568886426,-0.24380407007173424,-0.5524768326098335,-0.12028570548936302,0.0,1.0
2020-06-18,-0.40945900175508815,-0.7533947101025341,-0.24281799427287,-0.5523909228069095,-0.12103950488037687,0.0,1.0
2020-06-19,-0.4117538290856421,-0.7542605319116151,-0.24330487842460477,-0.5535147462171407,-0.11892508243705507,0.0,1.0
2020-06-22,-0.4125570213290593,-0.7545000616446801,-0.2396128714091974,-0.5560966588583405,-0.11946738996424609,0.0,1.0
2020-06-23,-0.40840035746201964,-0.7506086099041631,-0.23900650211087485,-0.5567779113124403,-0.1267757542140458,0.0,1.0
2020-06-24,-0.40499614494988434,-0.7499151888974557,-0.24320740169622207,-0.5559907478797225,-0.12996144949884347,0.0,1.0
2020-06-25,-0.40259900227874607,-0.7509084190429267,-0.24191661021124594,-0.5543203793804274,-0.12967296914454643,0.0,1.0
2020-06-26,-0.4040612578189998,-0.7456013311558254,-0.24127199334422086,-0.556866853603673,-0.13360860321079718,0.0,1.0
2020-06-29,-0.4004367618110236,-0.7421259842519684,-0.24360236220472442,-0.553580216535433,-0.13604207677165353,0.0,1.0
2020-06-30,-0.40116815247463883,-0.7402090378112512,-0.24466646172763604,-0.5525668613587458,-0.13547494620350445,0.0,1.0
